Participant,Window,Start,Mean_X,Std_X,Mean_Y,Std_Y
P2,minute_5,240,440.8196328170877,264.1602938447963,558.9493439563925,143.77732754852212
P2,minute_6,300,1153.4192004381675,375.35599736437814,599.7278299681383,183.3706914866814
P2,minute_7,360,982.6645947311424,372.37288117109546,717.527648580485,431.82348096493797
P2,minute_8,420,679.8160261394312,294.98011341346546,742.7390594555602,503.3410440512144
P2,minute_9,480,636.3390858667937,210.07243464043668,558.1011490720989,143.9876391500815
P2,minute_10,540,907.3096540244904,396.1086844644817,540.0236989448401,163.20421327186477
P2,minute_11,600,1114.840881793307,354.085606950827,794.5580045655211,533.9530063909236
P2,minute_12,660,773.2685145719014,326.5262447352305,703.9069554124358,460.8189091519562
P2,minute_13,720,561.3875468640308,371.54848240673255,554.372279895197,119.4011723956973
P2,minute_14,780,1043.055317911746,258.50918370084844,731.6967865651152,470.6879745633092
P2,minute_15,840,691.7403420865327,341.9941126173688,594.8623834901213,377.5001589166801
P2,minute_16,900,522.7952218602918,293.82051070458635,505.81136291863317,161.26564109376864
P2,minute_17,960,997.9273598211852,274.8630249207242,750.1625303432164,500.99315470071895
P2,minute_18,1020,642.9657575080959,332.74122869336617,569.7084987617908,273.5460015407737
P2,minute_19,1080,914.402796267222,348.2264879230172,793.8093800766521,518.1786657842995
P2,minute_20,1140,725.4928761437532,447.60593351508936,517.1852752587295,158.82169142356761
P2,minute_21,1200,1004.3053901506423,338.7967269612717,767.3386269815885,470.7364191375532
P3,minute_1,0,599.4422310446903,421.3525314561329,574.0966871156716,220.84201614446806
P3,minute_2,60,306.7267708398984,249.93364095479646,679.8465571335876,260.21224298571116
P3,minute_3,120,833.5889790610728,498.82683571640894,557.1471869147696,155.6259639015195
P3,minute_4,180,1133.8912158340634,316.88563180858876,654.4861980439762,391.08875775336685
P3,minute_5,240,619.1020843820858,403.35157160650897,563.2730418328686,276.9773562014567
P3,minute_6,300,397.4328555623124,367.53122524382735,648.9526676023952,127.55646632263847
P3,minute_7,360,475.29149155692795,377.76999009119174,651.4267809594761,159.87449088994995
P3,minute_8,420,1125.6768232348763,344.2569665360367,730.5151855952898,435.9683064696138
P3,minute_9,480,784.5250322020092,297.2846812684461,787.281841132065,517.5115353808422
P3,minute_10,540,335.12828002691816,308.80790142259076,705.4413000113356,154.30020105422784
P3,minute_11,600,489.9616858434283,369.9744039835055,641.4636340462986,171.3466071577831
P3,minute_12,660,797.9517586529503,431.3263575294394,628.7405522788952,373.85181565082405
P3,minute_13,720,1013.1838977761593,204.829386698136,655.4215121221315,395.65669461869834
P3,minute_14,780,570.5123752787048,342.6201233166467,485.16807498313665,270.8243376401092
P3,minute_15,840,474.95199624312545,283.7696100279717,473.8951753162271,161.29009688580476
P3,minute_16,900,805.4875900890363,499.34651187885447,478.90336112167813,136.3540920175171
P3,minute_17,960,850.6758783941639,431.27841623700385,777.6878801607487,467.1980894499223
P3,minute_18,1020,956.1581628382679,246.68123278469784,729.8761102679039,448.6586791793588
P3,minute_19,1080,601.6801891335995,375.35060148224835,531.0069288268078,209.4368087687918
P3,minute_20,1140,398.4126819731356,325.9168755909549,675.9893998754816,92.2404209172074
P3,minute_21,1200,893.7689098685153,450.64377373396377,570.6131501337912,242.88093813244748
P3,minute_22,1260,935.1273875380605,197.5309667959021,602.0318445725953,299.3335278540275
P3,minute_23,1320,929.8853175750614,336.59519373859183,571.1662503820517,345.5755857940563
P4,minute_1,0,652.3445909209294,337.5877321900096,532.1383658641897,221.72272734520607
P4,minute_2,60,460.6314142582292,276.6767482705579,616.4069719593518,103.20346445572663
P4,minute_3,120,436.47132657449356,289.96924644945386,598.6861159113173,72.52352567763599
P4,minute_4,180,1002.6576738706166,451.36555954712344,535.501251150605,161.09103559969617
P4,minute_5,240,1033.0529926379081,481.6911789456498,557.9475629882562,171.51440394348953
P4,minute_6,300,755.3016729443882,338.129032784928,490.63324237065535,243.65166748092986
P4,minute_7,360,455.70072291001696,281.0087614074107,599.9263423690282,84.63444706279472
P4,minute_8,420,409.88761273244563,281.0397917501243,545.2636572565567,126.7420170292559
P4,minute_9,480,1137.713588728984,459.0754298700657,497.07352327975127,141.79328655762808
P4,minute_10,540,942.8218540363415,432.626606066261,541.6569247501715,337.5492859173089
P4,minute_11,600,849.1505853039808,347.41996709817647,455.11720243714626,159.42165963681256
P4,minute_12,660,455.7385655608615,292.4461736684681,561.8896921319616,138.2600573397498
P4,minute_13,720,615.8593718246337,375.73001081343824,561.9988566065867,155.92636524560356
P4,minute_14,780,1062.9306033256937,215.3113330934021,553.329800269677,252.025735076042
P4,minute_15,840,641.6159612281614,333.316000406311,451.2485354500279,137.94113867915667
P4,minute_16,900,413.3668860210014,293.5700486834238,428.6925295412479,57.658707719578054
P4,minute_17,960,622.2266966856268,401.5376753029262,492.38715545272305,130.63207553646276
P4,minute_18,1020,798.8151402451366,381.8647855321946,443.43515465488065,220.78249100052727
P4,minute_19,1080,389.0821696909076,285.2561746480231,474.93157263068395,102.78512534720471
P4,minute_20,1140,738.5609556378314,443.40992253393915,586.3672707171819,194.7366474395636
P4,minute_21,1200,971.1653414184764,312.4465709748492,469.99862903116144,228.50371739656327
P5,minute_1,0,660.8959013791242,385.3021351189375,667.3623492431329,312.8859292031954
P5,minute_2,60,434.5640987902052,276.9925506970815,604.5879103775525,230.99812880920734
P5,minute_3,120,438.18806683361043,267.50314062774197,584.9153978837534,114.58611878697297
P5,minute_4,180,605.1180814644301,399.02304199781963,589.9439122376042,104.18062672394092
P5,minute_5,240,1190.8405610788486,219.94214549686905,603.717715009649,132.331832696732
P5,minute_6,300,1279.7818880176942,167.7299743418675,508.5690552279175,75.22894388427345
P5,minute_7,360,1081.1525921902148,269.1888014753212,849.3109490030081,435.5584657217471
P5,minute_8,420,600.5798015533779,314.5482826730312,588.0573263684853,176.68676507679234
P5,minute_9,480,617.7789434824142,340.2317361506728,592.8207075991199,75.08779778534192
P5,minute_10,540,1199.8122060899145,200.21272392196093,596.2594968483919,118.04280347219928
P5,minute_11,600,893.0809228584066,366.28132787254293,727.1961149271019,415.58323068092864
P5,minute_12,660,695.854079661236,396.4516364784752,677.9269331936263,298.64243226971934
P5,minute_13,720,786.5983647625798,402.4703688195147,713.0708488618945,446.09080216674926
P5,minute_14,780,868.1912339520906,422.24955240408906,643.3842756314858,262.45141525302023
P5,minute_15,840,588.3166420127945,355.3332513662805,705.5474070627124,422.1427460574305
P5,minute_16,900,952.810670687507,330.3674629596389,799.5603039834183,471.5160276124861
