Participant,Window,Start,Mean_X,Std_X,Mean_Y,Std_Y,Dispersion
simplified,30s_147,4380,591.2543577857061,298.09798503692207,537.0721847041598,378.23377039699096,481.58404640498287
simplified,30s_148,4410,599.66188025018,245.339574185935,614.6307989756469,121.09645972340859,273.5979883319302
simplified,30s_149,4440,634.3465296776641,224.71929758839357,527.9278812512846,131.66175975011927,260.44880819293286
simplified,30s_150,4470,644.7118072740977,192.5081676151834,643.6087369639315,141.07808048672018,238.66801082753645
simplified,30s_151,4500,662.5936673524842,309.9969411281837,574.2144294149142,132.26491451704064,337.0342877527903
simplified,30s_152,4530,1359.1150847652216,262.5034726624957,407.8465516920279,124.51026584141673,290.53550464576597
simplified,30s_153,4560,1033.749163404057,329.9524496684729,803.2515089110191,492.54121503337643,592.8452306873868
simplified,30s_154,4590,959.6531871571494,221.36842788228412,1078.0223171716732,580.6363656781432,621.4037093637247
simplified,30s_155,4620,840.4650649181424,312.53036404070343,683.2661141548467,452.7841537404919,550.1715353650242
simplified,30s_156,4650,450.500129707379,279.18511417106015,528.7557651508796,109.07654326138646,299.7365847949846
simplified,30s_157,4680,473.77702548272197,267.71621275563575,527.4290048661898,118.33378832814297,292.70267513692215
simplified,30s_158,4710,1065.3108672442954,386.23860979525614,535.0754308579401,148.23206085728395,413.70642678422297
simplified,30s_159,4740,961.4552876019079,240.8831748967201,799.3426910187485,500.4494719491843,555.4046974257071
simplified,30s_160,4770,959.6929094169759,209.82597149354592,841.9094059015421,508.8696007403222,550.431838533006
simplified,30s_161,4800,674.6531337605356,367.9975501169102,523.5381488493412,360.24953882667967,514.9775986554009
simplified,30s_162,4830,532.6498073754598,273.9048145029335,519.1123123544156,102.71823637652402,292.53185038930354
simplified,30s_163,4860,450.454047195027,258.181680497691,479.3178873681231,185.62576057043154,317.98538194697403
simplified,30s_164,4890,941.5015661909902,424.329723753881,520.6556206386738,139.11605675769763,446.5523392715079
simplified,30s_165,4920,933.116842514259,268.65480653640236,847.448458060165,532.4850859320758,596.4191242869413
simplified,30s_166,4950,913.8415917386553,246.82620896591,745.2731816657085,543.527180877988,596.9463742964322
simplified,30s_167,4980,565.1712501270508,274.07179817165036,536.8554675020669,94.57534277492657,289.9307607240679
simplified,30s_168,5010,697.9077538876164,424.9818046635333,554.3841209167504,123.68509278882239,442.61443319581565
simplified,30s_169,5040,977.2983115743218,303.93105519897057,859.4728866024715,554.6649617794301,632.4771190645052
simplified,30s_170,5070,855.1687606488413,381.6851793810635,696.6178651310819,510.7561246104801,637.6169657296384
simplified,30s_171,5100,491.6615950938656,257.4335574389602,508.9625801464893,129.14815710904728,288.0126437855491
simplified,30s_172,5130,1120.9337926493206,422.5571109187181,584.1277326099665,189.86406680333084,463.2524968643704
simplified,30s_173,5160,848.8159970460075,262.14322888971964,859.9657113852045,543.5513476076175,603.4626251382806
simplified,30s_174,5190,883.367543567286,417.8441794525877,547.8719783060809,124.3140436566807,435.944652166627
simplified,30s_1184,35490,756.2136532092917,455.30077759830266,508.19048800489355,270.40191512966703,529.5431935049404
simplified,30s_1185,35520,614.3208156014053,230.73802907998757,508.5541185136346,201.44962992910365,306.30375685304614
simplified,30s_1186,35550,516.0474842299288,273.81247853492283,692.828342792119,86.41252432679917,287.1243594019275
simplified,30s_1187,35580,455.0519979579598,273.2786492027484,552.5084931507316,70.58374393281534,282.24685120945475
simplified,30s_1188,35610,395.7703054740908,282.21294999279195,577.1916741131689,80.26987504021811,293.4065472729031
simplified,30s_1189,35640,441.7163270465069,291.5405605080433,607.1945430664209,56.620659683646984,296.98787437260034
simplified,30s_1190,35670,718.1807400063431,441.8704038248603,592.2551973224663,188.13804005874243,480.2555318718256
simplified,30s_1191,35700,995.2688516239175,400.66796036187725,486.38452505634376,111.85683706420723,415.9889018454163
simplified,30s_1192,35730,892.9154152591065,572.7306833733048,603.0018341290502,122.29784111372749,585.6425510653502
simplified,30s_1193,35760,1272.5581685907746,261.3278550595314,535.168699657444,180.6000637826522,317.66118879761416
simplified,30s_1194,35790,920.3050677510195,212.62635649837168,525.1237611976196,254.05330804507318,331.2899799366372
simplified,30s_1195,35820,769.4179946673769,419.02000438813315,425.1208939766227,246.09996603286285,485.94542631740796
simplified,30s_1196,35850,496.1550797275582,281.4838750127779,598.5305823826815,90.53923999280241,295.6865331236501
simplified,30s_1197,35880,470.1458828203262,273.0589010028019,601.4681610495063,94.8115892697736,289.05086209302027
simplified,30s_1198,35910,428.8904522045023,288.5284387233287,592.098554203045,69.3277578741529,296.7406240540361
simplified,30s_1199,35940,416.2361969411159,282.2315287084376,567.6792342836626,131.90866791111148,311.5357643468652
simplified,30s_1200,35970,856.7372354977746,543.7269333224675,484.6839025458868,136.70466403472585,560.6488590812455
simplified,30s_1201,36000,1044.7741782132653,432.7832783532303,447.661605931449,151.2563797648323,458.4537691433377
simplified,30s_1202,36030,1207.3925080963916,419.7718570718097,539.5829577700569,211.16754220482542,469.8937570029448
simplified,30s_1203,36060,608.0239261752758,510.0147588754024,332.37925333269754,251.82061247520534,568.7958114632371
simplified,30s_1204,36090,824.1111997476207,139.71230838010692,536.1876403819713,349.8594900604779,376.7242916222363
simplified,30s_1205,36120,909.8906474405195,420.1423903594054,423.9423036103627,110.93138098487567,434.5404462925478
simplified,30s_1206,36150,601.2784518116929,266.10890576014754,582.2490164799301,121.0048573283969,292.3287964295149
simplified,30s_1207,36180,406.69615508066676,279.56831516300196,535.8841354733419,133.32566580447173,309.7324264672417
simplified,30s_1208,36210,474.1130922375626,279.2364574580444,528.5743537945965,133.56949351369974,309.53805706443353
