Participant,Window,Start,Mean_Speed
simplified,30s_140,4170,1125.894626496561
simplified,30s_141,4200,995.7256241559281
simplified,30s_142,4230,1169.1723295628587
simplified,30s_143,4260,889.0161186610242
simplified,30s_144,4290,845.488173939694
simplified,30s_145,4320,1032.475433493666
simplified,30s_146,4350,1908.420059734297
simplified,30s_147,4380,1192.0425133042902
simplified,30s_148,4410,1127.89613368977
simplified,30s_149,4440,1156.0814329419777
simplified,30s_150,4470,1173.674375712769
simplified,30s_151,4500,1128.3364258377733
simplified,30s_152,4530,883.8369865940138
simplified,30s_153,4560,1361.1787880401466
simplified,30s_154,4590,1901.0704055484591
simplified,30s_155,4620,1440.8566883262174
simplified,30s_156,4650,961.5620352979954
simplified,30s_157,4680,941.2952058484884
simplified,30s_158,4710,929.8623992133529
simplified,30s_159,4740,1810.7779704735658
simplified,30s_160,4770,1808.493080773601
simplified,30s_161,4800,1417.3784289573728
simplified,30s_162,4830,1226.91759702723
simplified,30s_163,4860,1120.7117351663553
simplified,30s_164,4890,950.6529046259025
simplified,30s_165,4920,2077.8786270083406
simplified,30s_166,4950,1554.5223164852162
simplified,30s_167,4980,1391.7314207755683
simplified,30s_168,5010,1000.085959179374
simplified,30s_169,5040,1654.2308332185994
simplified,30s_170,5070,1803.8922019975462
simplified,30s_171,5100,1191.5195651732836
simplified,30s_172,5130,1073.183730197599
simplified,30s_173,5160,1587.4301594306744
simplified,30s_174,5190,1505.9678212455037
simplified,30s_372,11130,1141.043725111218
simplified,30s_373,11160,1118.8262132364268
simplified,30s_374,11190,680.6216742734922
simplified,30s_375,11220,798.6684452268985
simplified,30s_376,11250,1029.9025285754828
simplified,30s_377,11280,885.1642364748574
simplified,30s_378,11310,723.7203162997034
simplified,30s_379,11340,906.5696533044436
simplified,30s_380,11370,1259.8190706200005
simplified,30s_381,11400,1077.1835511160557
simplified,30s_382,11430,918.3925188244156
simplified,30s_383,11460,826.4002661164824
simplified,30s_384,11490,770.5812389023466
simplified,30s_385,11520,1164.9357312807401
simplified,30s_386,11550,975.8233700176311
simplified,30s_387,11580,799.5486622016779
simplified,30s_388,11610,862.0072821212583
simplified,30s_389,11640,862.9903043419821
simplified,30s_390,11670,1082.0037168870015
simplified,30s_391,11700,587.831101590581
simplified,30s_392,11730,919.0862392901597
simplified,30s_393,11760,967.2651408840292
simplified,30s_394,11790,750.4094487580115
simplified,30s_395,11820,906.0303055667213
simplified,30s_396,11850,1160.0215614380152
simplified,30s_397,11880,876.9714743928523
simplified,30s_398,11910,962.3184910909863
simplified,30s_399,11940,940.1952333737696
simplified,30s_400,11970,777.9653454528209
simplified,30s_401,12000,809.6646246055418
simplified,30s_402,12030,832.9123472846907
simplified,30s_403,12060,771.7722183108115
simplified,30s_404,12090,937.8430109212478
simplified,30s_405,12120,1318.574879374276
simplified,30s_406,12150,1134.3658177627985
simplified,30s_407,12180,1028.1815749494665
simplified,30s_408,12210,882.3066004231433
simplified,30s_409,12240,970.5552387813027
simplified,30s_410,12270,614.236370368702
simplified,30s_411,12300,650.9009929101533
simplified,30s_412,12330,753.9166496373226
simplified,30s_413,12360,686.7098563801567
simplified,30s_414,12390,1076.995621656476
simplified,30s_415,12420,715.3017210812271
simplified,30s_416,12450,774.9874090668922
simplified,30s_417,12480,1058.860259462327
simplified,30s_1184,35490,1169.3127650749589
simplified,30s_1185,35520,797.1789223953066
simplified,30s_1186,35550,968.4057222906604
simplified,30s_1187,35580,769.6121183974094
simplified,30s_1188,35610,1036.3675502706649
simplified,30s_1189,35640,1093.836171536933
simplified,30s_1190,35670,1084.8117574147302
simplified,30s_1191,35700,658.3776779811881
simplified,30s_1192,35730,805.8027501887411
simplified,30s_1193,35760,849.2533035698109
simplified,30s_1194,35790,807.754947174985
simplified,30s_1195,35820,1238.398837781189
simplified,30s_1196,35850,932.5900480177147
simplified,30s_1197,35880,913.7393864205989
simplified,30s_1198,35910,980.1568902322064
simplified,30s_1199,35940,814.3887038085849
simplified,30s_1200,35970,804.3267952289124
simplified,30s_1201,36000,1343.5657834077206
simplified,30s_1202,36030,1036.9516899665166
simplified,30s_1203,36060,1596.1333189119312
simplified,30s_1204,36090,1407.6738033130177
simplified,30s_1205,36120,875.8204890341447
simplified,30s_1206,36150,959.9310977294651
simplified,30s_1207,36180,904.4680379531253
simplified,30s_1208,36210,841.7819229120144
simplified,30s_1209,36240,1103.3523407792463
simplified,30s_1210,36270,893.3400712596994
simplified,30s_1211,36300,653.239193004361
simplified,30s_1212,36330,690.3076306259243
simplified,30s_1213,36360,1002.1676186346772
simplified,30s_1214,36390,700.4061062071734
simplified,30s_1215,36420,972.80648775121
simplified,30s_1216,36450,890.6325987194916
