Participant,Window,Num_Points,Std_X,Std_Y,Mean_Speed
P2,minute_20,1736,447.60593351508936,158.82169142356761,1218.9187903622874
P2,minute_21,1528,338.7967269612717,470.7364191375532,1419.2386668346262
P3,minute_1,1976,421.3525314561329,220.84201614446806,1031.909215218339
P3,minute_2,1969,249.93364095479646,260.21224298571116,888.4632052218958
P3,minute_3,1968,498.82683571640894,155.6259639015195,800.8455988231077
P3,minute_4,1924,316.88563180858876,391.08875775336685,1001.2073486462726
P3,minute_5,1972,403.35157160650897,276.9773562014567,1078.6150992817586
P3,minute_6,1965,367.53122524382735,127.55646632263847,837.4495358679146
P3,minute_7,1966,377.76999009119174,159.87449088994995,1003.6975106720678
P3,minute_8,1950,344.2569665360367,435.9683064696138,801.912748483196
P3,minute_9,1930,297.2846812684461,517.5115353808422,920.0908228852849
P3,minute_10,1965,308.80790142259076,154.30020105422784,786.3469770903673
P3,minute_11,1956,369.9744039835055,171.3466071577831,927.106582340606
P3,minute_12,1954,431.3263575294394,373.85181565082405,874.8111337944133
P3,minute_13,1932,204.829386698136,395.65669461869834,979.3231582372613
P3,minute_14,1962,342.6201233166467,270.8243376401092,951.0804478817015
P3,minute_15,1960,283.7696100279717,161.29009688580476,834.446973111524
P3,minute_16,1965,499.34651187885447,136.3540920175171,799.585583311345
P3,minute_17,1881,431.27841623700385,467.1980894499223,1183.898601975466
P3,minute_18,1917,246.68123278469784,448.6586791793588,998.1735795639987
P3,minute_19,1963,375.35060148224835,209.4368087687918,907.7574076264424
P3,minute_20,1965,325.9168755909549,92.2404209172074,693.9979910989811
P3,minute_21,1960,450.64377373396377,242.88093813244748,772.6288874279734
P3,minute_22,1932,197.5309667959021,299.3335278540275,758.1800620777993
P3,minute_23,1274,336.59519373859183,345.5755857940563,1001.7650494137154
P4,minute_1,1952,337.5877321900096,221.72272734520607,949.5971058117835
P4,minute_2,1870,276.6767482705579,103.20346445572663,896.3015176388712
P4,minute_3,1935,289.96924644945386,72.52352567763599,1042.7310439685132
P4,minute_4,1932,451.36555954712344,161.09103559969617,839.1033028169877
P4,minute_5,1719,481.6911789456498,171.51440394348953,879.7669131725214
P4,minute_6,1644,338.129032784928,243.65166748092986,1012.8174389337586
P4,minute_7,1945,281.0087614074107,84.63444706279472,925.94233068803
P4,minute_8,1860,281.0397917501243,126.7420170292559,844.9047841629657
P4,minute_9,1332,459.0754298700657,141.79328655762808,1095.724794737092
P4,minute_10,687,432.626606066261,337.5492859173089,1206.5182286165639
P4,minute_11,1608,347.41996709817647,159.42165963681256,959.7954136344224
P4,minute_12,1947,292.4461736684681,138.2600573397498,899.1190308315065
P4,minute_13,1623,375.73001081343824,155.92636524560356,1043.169198632321
P4,minute_14,1776,215.3113330934021,252.025735076042,714.5392520624239
P4,minute_15,1814,333.316000406311,137.94113867915667,860.1464777429993
P4,minute_16,723,293.5700486834238,57.658707719578054,838.8701025442558
P4,minute_17,1869,401.5376753029262,130.63207553646276,943.248653628904
P4,minute_18,1901,381.8647855321946,220.78249100052727,856.303863596787
