Participant,Timestamp,X,Y
P5,106961262.5052,718.683277012946,703.396489154849
P5,106961292.5805,718.487889534659,702.734135647013
P5,106961322.7361,712.952742179225,702.921215679123
P5,106961353.1272,712.868913872223,701.074163151815
P5,106961383.2175,716.086492947311,698.016829510102
P5,106961413.2214,718.776826126487,700.59267111268
P5,106961443.5468,720.660190150944,716.919215061703
P5,106961472.6714,322.413939118179,725.095723803614
P5,106961503.3283,169.993376819065,734.818116563695
P5,106961534.1461,166.916051689898,737.638938399635
P5,106961564.356,163.376210556626,737.064221777117
P5,106961594.241,156.206893258748,733.943204799369
P5,106961624.8552,159.387785100644,731.849807991481
P5,106961654.8702,161.364362241577,729.790703800916
P5,106961685.2921,162.067946039528,734.651693540582
P5,106961715.2355,157.47017866183,736.150493820233
P5,106961745.4543,161.657999757333,741.4402712569
P5,106961775.7528,170.615218064297,745.066415617358
P5,106961806.0178,176.922464800889,747.033272912673
P5,106961836.195,174.308542838972,743.997531294826
P5,106961866.3851,164.917471817568,735.364773318459
P5,106961896.3576,166.787465384461,735.675424406265
P5,106961926.7648,168.04655775703,734.126609315988
P5,106961957.0176,168.993208031025,730.881183630768
P5,106961987.4223,169.829650911045,711.281427224094
P5,106962017.4601,168.521032525818,701.84088960226
P5,106962047.7307,168.343433697998,687.233768750048
P5,106962077.7885,167.019121335231,679.132106638058
P5,106962108.0577,161.921897734499,645.328036342232
P5,106962138.2713,162.885274246953,644.857192690641
P5,106962168.4298,163.048612874458,623.927864286652
P5,106962198.6659,166.934633128682,619.251987786176
P5,106962228.9438,165.767275552305,620.261784474139
P5,106962259.4596,610.785545677684,626.188733961519
P5,106962289.1385,708.024091775725,621.070973570356
P5,106962319.4347,717.995028702909,616.534306978891
P5,106962349.8144,717.755746288276,630.381323001208
P5,106962379.9079,718.233696364287,645.722865758846
P5,106962410.2376,718.691413435808,638.987112956211
P5,106962440.3972,718.836469477741,645.062982796193
P5,106962470.6483,725.229380689828,643.150059359125
P5,106962500.7546,726.863649240154,650.543222104752
P5,106962531.0701,728.268286189305,677.765230510289
P5,106962561.2302,728.021686888109,695.56970149458
P5,106962591.3046,727.32858605503,690.788898850521
P5,106962621.4217,725.473025567503,691.701365924778
P5,106962651.82,729.042221488569,689.369531417474
P5,106962682.1199,733.126353933504,677.308983853127
P5,106962712.3501,735.313824457789,664.273134118963
P5,106962742.4401,732.165804936063,659.222658963653
P5,106962772.4968,733.939031468113,642.697830724825
P5,106962802.9815,729.381060001613,626.907250984502
P5,106962832.9004,727.34868220361,599.383820144672
P5,106962863.1163,727.605678365182,599.52960785382
P5,106962893.5469,496.240575721427,593.552431977237
P5,106962923.8818,354.824224929249,599.752652618758
P5,106962953.9461,236.366702484901,633.240125268401
P5,106962984.1581,155.528158528794,647.706128328951
P5,106963014.5484,147.047225714001,648.687438808815
P5,106963044.4416,126.766447685803,649.839648045127
P5,106963074.836,126.494650875192,652.346788267003
P5,106963105.0604,134.280560960498,648.84051333431
P5,106963134.9982,155.931462285368,641.502112472025
P5,106963165.2301,154.920424637285,633.951883027038
P5,106963195.4302,160.82492463503,628.597271617343
P5,106963225.6613,168.178924337873,629.332969063038
P5,106963256.1724,166.695357074561,630.497832840269
P5,106963286.1557,162.931698399327,630.769395509817
P5,106963316.2557,164.400009664296,631.592861965711
P5,106963346.5638,164.931416202077,628.614150301659
P5,106963376.8373,163.296227267971,627.625184596572
P5,106963406.8871,166.205487675294,630.126726869262
P5,106963437.4245,181.200518333871,635.124375310569
P5,106963467.52,176.602954652985,632.916312219075
P5,106963497.7047,175.91683997194,627.632546692675
P5,106963528.0972,177.040076243975,621.383989809495
P5,106963558.2138,176.887384500829,622.743203185538
P5,106963588.3591,175.222931611623,640.64425583629
P5,106963618.461,164.627666742727,652.877700041538
P5,106963648.3894,166.425336712685,652.478499415939
P5,106963678.795,163.912209332882,648.538814594525
P5,106963709.1867,161.123687567645,645.172315245476
